DateKey,Date,Day,DaySuffix,Weekday,WeekDayName,WeekDayName_Short,WeekDayName_FirstLetter,DOWInMonth,DayOfYear,WeekOfMonth,WeekOfYear,Month,MonthName,MonthName_Short,MonthName_FirstLetter,Quarter,QuarterName,Year,MMYYYY,MonthYear,IsWeekend,IsHoliday,HolidayName,SpecialDays,FinancialYear,FinancialQuater,FinancialMonth,FirstDateofYear,LastDateofYear,FirstDateofQuater,LastDateofQuater,FirstDateofMonth,LastDateofMonth,FirstDateofWeek,LastDateofWeek,CurrentYear,CurrentQuater,CurrentMonth,CurrentWeek,CurrentDay
20131019,2013-10-19,19,th,7,Saturday,SAT,S,19,292,3,42,10,October,OCT,O,4,fourth,2013,102013,2013OCT,True,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-10-13,2013-10-19,-9,-33,-100,-436,-3047
20131020,2013-10-20,20,th,1,Sunday,SUN,S,20,293,4,43,10,October,OCT,O,4,fourth,2013,102013,2013OCT,True,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-10-20,2013-10-26,-9,-33,-100,-435,-3046
20131021,2013-10-21,21,st,2,Monday,MON,M,21,294,4,43,10,October,OCT,O,4,fourth,2013,102013,2013OCT,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-10-20,2013-10-26,-9,-33,-100,-435,-3045
20131022,2013-10-22,22,nd,3,Tuesday,TUE,T,22,295,4,43,10,October,OCT,O,4,fourth,2013,102013,2013OCT,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-10-20,2013-10-26,-9,-33,-100,-435,-3044
20131023,2013-10-23,23,rd,4,Wednesday,WED,W,23,296,4,43,10,October,OCT,O,4,fourth,2013,102013,2013OCT,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-10-20,2013-10-26,-9,-33,-100,-435,-3043
20131024,2013-10-24,24,th,5,Thursday,THU,T,24,297,4,43,10,October,OCT,O,4,fourth,2013,102013,2013OCT,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-10-20,2013-10-26,-9,-33,-100,-435,-3042
20131025,2013-10-25,25,th,6,Friday,FRI,F,25,298,4,43,10,October,OCT,O,4,fourth,2013,102013,2013OCT,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-10-20,2013-10-26,-9,-33,-100,-435,-3041
20131026,2013-10-26,26,th,7,Saturday,SAT,S,26,299,4,43,10,October,OCT,O,4,fourth,2013,102013,2013OCT,True,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-10-20,2013-10-26,-9,-33,-100,-435,-3040
20131027,2013-10-27,27,th,1,Sunday,SUN,S,27,300,5,44,10,October,OCT,O,4,fourth,2013,102013,2013OCT,True,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-10-27,2013-11-02,-9,-33,-100,-434,-3039
20131028,2013-10-28,28,th,2,Monday,MON,M,28,301,5,44,10,October,OCT,O,4,fourth,2013,102013,2013OCT,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-10-27,2013-11-02,-9,-33,-100,-434,-3038
20131029,2013-10-29,29,th,3,Tuesday,TUE,T,29,302,5,44,10,October,OCT,O,4,fourth,2013,102013,2013OCT,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-10-27,2013-11-02,-9,-33,-100,-434,-3037
20131030,2013-10-30,30,th,4,Wednesday,WED,W,30,303,5,44,10,October,OCT,O,4,fourth,2013,102013,2013OCT,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-10-27,2013-11-02,-9,-33,-100,-434,-3036
20131031,2013-10-31,31,st,5,Thursday,THU,T,31,304,5,44,10,October,OCT,O,4,fourth,2013,102013,2013OCT,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-10-27,2013-11-02,-9,-33,-100,-434,-3035
20131101,2013-11-01,1,st,6,Friday,FRI,F,1,305,1,44,11,November,NOV,N,4,fourth,2013,112013,2013NOV,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-10-27,2013-11-02,-9,-33,-99,-434,-3034
20131102,2013-11-02,2,nd,7,Saturday,SAT,S,2,306,1,44,11,November,NOV,N,4,fourth,2013,112013,2013NOV,True,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-10-27,2013-11-02,-9,-33,-99,-434,-3033
20131103,2013-11-03,3,rd,1,Sunday,SUN,S,3,307,2,45,11,November,NOV,N,4,fourth,2013,112013,2013NOV,True,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-11-03,2013-11-09,-9,-33,-99,-433,-3032
20131104,2013-11-04,4,th,2,Monday,MON,M,4,308,2,45,11,November,NOV,N,4,fourth,2013,112013,2013NOV,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-11-03,2013-11-09,-9,-33,-99,-433,-3031
20131105,2013-11-05,5,th,3,Tuesday,TUE,T,5,309,2,45,11,November,NOV,N,4,fourth,2013,112013,2013NOV,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-11-03,2013-11-09,-9,-33,-99,-433,-3030
20131106,2013-11-06,6,th,4,Wednesday,WED,W,6,310,2,45,11,November,NOV,N,4,fourth,2013,112013,2013NOV,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-11-03,2013-11-09,-9,-33,-99,-433,-3029
20131107,2013-11-07,7,th,5,Thursday,THU,T,7,311,2,45,11,November,NOV,N,4,fourth,2013,112013,2013NOV,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-11-03,2013-11-09,-9,-33,-99,-433,-3028
20131108,2013-11-08,8,th,6,Friday,FRI,F,8,312,2,45,11,November,NOV,N,4,fourth,2013,112013,2013NOV,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-11-03,2013-11-09,-9,-33,-99,-433,-3027
20131109,2013-11-09,9,th,7,Saturday,SAT,S,9,313,2,45,11,November,NOV,N,4,fourth,2013,112013,2013NOV,True,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-11-03,2013-11-09,-9,-33,-99,-433,-3026
20131110,2013-11-10,10,th,1,Sunday,SUN,S,10,314,3,46,11,November,NOV,N,4,fourth,2013,112013,2013NOV,True,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-11-10,2013-11-16,-9,-33,-99,-432,-3025
20131111,2013-11-11,11,th,2,Monday,MON,M,11,315,3,46,11,November,NOV,N,4,fourth,2013,112013,2013NOV,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-11-10,2013-11-16,-9,-33,-99,-432,-3024
20131112,2013-11-12,12,th,3,Tuesday,TUE,T,12,316,3,46,11,November,NOV,N,4,fourth,2013,112013,2013NOV,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-11-10,2013-11-16,-9,-33,-99,-432,-3023
20131113,2013-11-13,13,th,4,Wednesday,WED,W,13,317,3,46,11,November,NOV,N,4,fourth,2013,112013,2013NOV,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-11-10,2013-11-16,-9,-33,-99,-432,-3022
20131114,2013-11-14,14,th,5,Thursday,THU,T,14,318,3,46,11,November,NOV,N,4,fourth,2013,112013,2013NOV,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-11-10,2013-11-16,-9,-33,-99,-432,-3021
20131115,2013-11-15,15,th,6,Friday,FRI,F,15,319,3,46,11,November,NOV,N,4,fourth,2013,112013,2013NOV,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-11-10,2013-11-16,-9,-33,-99,-432,-3020
20131116,2013-11-16,16,th,7,Saturday,SAT,S,16,320,3,46,11,November,NOV,N,4,fourth,2013,112013,2013NOV,True,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-11-10,2013-11-16,-9,-33,-99,-432,-3019
20131117,2013-11-17,17,th,1,Sunday,SUN,S,17,321,4,47,11,November,NOV,N,4,fourth,2013,112013,2013NOV,True,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-11-17,2013-11-23,-9,-33,-99,-431,-3018
20131118,2013-11-18,18,th,2,Monday,MON,M,18,322,4,47,11,November,NOV,N,4,fourth,2013,112013,2013NOV,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-11-17,2013-11-23,-9,-33,-99,-431,-3017
20131119,2013-11-19,19,th,3,Tuesday,TUE,T,19,323,4,47,11,November,NOV,N,4,fourth,2013,112013,2013NOV,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-11-17,2013-11-23,-9,-33,-99,-431,-3016
20131120,2013-11-20,20,th,4,Wednesday,WED,W,20,324,4,47,11,November,NOV,N,4,fourth,2013,112013,2013NOV,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-11-17,2013-11-23,-9,-33,-99,-431,-3015
20131121,2013-11-21,21,st,5,Thursday,THU,T,21,325,4,47,11,November,NOV,N,4,fourth,2013,112013,2013NOV,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-11-17,2013-11-23,-9,-33,-99,-431,-3014
20131122,2013-11-22,22,nd,6,Friday,FRI,F,22,326,4,47,11,November,NOV,N,4,fourth,2013,112013,2013NOV,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-11-17,2013-11-23,-9,-33,-99,-431,-3013
20131123,2013-11-23,23,rd,7,Saturday,SAT,S,23,327,4,47,11,November,NOV,N,4,fourth,2013,112013,2013NOV,True,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-11-17,2013-11-23,-9,-33,-99,-431,-3012
20131124,2013-11-24,24,th,1,Sunday,SUN,S,24,328,5,48,11,November,NOV,N,4,fourth,2013,112013,2013NOV,True,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-11-24,2013-11-30,-9,-33,-99,-430,-3011
20131125,2013-11-25,25,th,2,Monday,MON,M,25,329,5,48,11,November,NOV,N,4,fourth,2013,112013,2013NOV,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-11-24,2013-11-30,-9,-33,-99,-430,-3010
20131126,2013-11-26,26,th,3,Tuesday,TUE,T,26,330,5,48,11,November,NOV,N,4,fourth,2013,112013,2013NOV,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-11-24,2013-11-30,-9,-33,-99,-430,-3009
20131127,2013-11-27,27,th,4,Wednesday,WED,W,27,331,5,48,11,November,NOV,N,4,fourth,2013,112013,2013NOV,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-11-24,2013-11-30,-9,-33,-99,-430,-3008
20131128,2013-11-28,28,th,5,Thursday,THU,T,28,332,5,48,11,November,NOV,N,4,fourth,2013,112013,2013NOV,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-11-24,2013-11-30,-9,-33,-99,-430,-3007
20131129,2013-11-29,29,th,6,Friday,FRI,F,29,333,5,48,11,November,NOV,N,4,fourth,2013,112013,2013NOV,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-11-24,2013-11-30,-9,-33,-99,-430,-3006
20131130,2013-11-30,30,th,7,Saturday,SAT,S,30,334,5,48,11,November,NOV,N,4,fourth,2013,112013,2013NOV,True,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-11-01,2013-11-30,2013-11-24,2013-11-30,-9,-33,-99,-430,-3005
20131201,2013-12-01,1,st,1,Sunday,SUN,S,1,335,1,49,12,December,DEC,D,4,fourth,2013,122013,2013DEC,True,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-01,2013-12-07,-9,-33,-98,-429,-3004
20131202,2013-12-02,2,nd,2,Monday,MON,M,2,336,1,49,12,December,DEC,D,4,fourth,2013,122013,2013DEC,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-01,2013-12-07,-9,-33,-98,-429,-3003
20131203,2013-12-03,3,rd,3,Tuesday,TUE,T,3,337,1,49,12,December,DEC,D,4,fourth,2013,122013,2013DEC,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-01,2013-12-07,-9,-33,-98,-429,-3002
20131204,2013-12-04,4,th,4,Wednesday,WED,W,4,338,1,49,12,December,DEC,D,4,fourth,2013,122013,2013DEC,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-01,2013-12-07,-9,-33,-98,-429,-3001
20131205,2013-12-05,5,th,5,Thursday,THU,T,5,339,1,49,12,December,DEC,D,4,fourth,2013,122013,2013DEC,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-01,2013-12-07,-9,-33,-98,-429,-3000
20131206,2013-12-06,6,th,6,Friday,FRI,F,6,340,1,49,12,December,DEC,D,4,fourth,2013,122013,2013DEC,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-01,2013-12-07,-9,-33,-98,-429,-2999
20131207,2013-12-07,7,th,7,Saturday,SAT,S,7,341,1,49,12,December,DEC,D,4,fourth,2013,122013,2013DEC,True,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-01,2013-12-07,-9,-33,-98,-429,-2998
20131208,2013-12-08,8,th,1,Sunday,SUN,S,8,342,2,50,12,December,DEC,D,4,fourth,2013,122013,2013DEC,True,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-08,2013-12-14,-9,-33,-98,-428,-2997
20131209,2013-12-09,9,th,2,Monday,MON,M,9,343,2,50,12,December,DEC,D,4,fourth,2013,122013,2013DEC,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-08,2013-12-14,-9,-33,-98,-428,-2996
20131210,2013-12-10,10,th,3,Tuesday,TUE,T,10,344,2,50,12,December,DEC,D,4,fourth,2013,122013,2013DEC,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-08,2013-12-14,-9,-33,-98,-428,-2995
20131211,2013-12-11,11,th,4,Wednesday,WED,W,11,345,2,50,12,December,DEC,D,4,fourth,2013,122013,2013DEC,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-08,2013-12-14,-9,-33,-98,-428,-2994
20131212,2013-12-12,12,th,5,Thursday,THU,T,12,346,2,50,12,December,DEC,D,4,fourth,2013,122013,2013DEC,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-08,2013-12-14,-9,-33,-98,-428,-2993
20131213,2013-12-13,13,th,6,Friday,FRI,F,13,347,2,50,12,December,DEC,D,4,fourth,2013,122013,2013DEC,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-08,2013-12-14,-9,-33,-98,-428,-2992
20131214,2013-12-14,14,th,7,Saturday,SAT,S,14,348,2,50,12,December,DEC,D,4,fourth,2013,122013,2013DEC,True,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-08,2013-12-14,-9,-33,-98,-428,-2991
20131215,2013-12-15,15,th,1,Sunday,SUN,S,15,349,3,51,12,December,DEC,D,4,fourth,2013,122013,2013DEC,True,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-15,2013-12-21,-9,-33,-98,-427,-2990
20131216,2013-12-16,16,th,2,Monday,MON,M,16,350,3,51,12,December,DEC,D,4,fourth,2013,122013,2013DEC,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-15,2013-12-21,-9,-33,-98,-427,-2989
20131217,2013-12-17,17,th,3,Tuesday,TUE,T,17,351,3,51,12,December,DEC,D,4,fourth,2013,122013,2013DEC,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-15,2013-12-21,-9,-33,-98,-427,-2988
20131218,2013-12-18,18,th,4,Wednesday,WED,W,18,352,3,51,12,December,DEC,D,4,fourth,2013,122013,2013DEC,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-15,2013-12-21,-9,-33,-98,-427,-2987
20131219,2013-12-19,19,th,5,Thursday,THU,T,19,353,3,51,12,December,DEC,D,4,fourth,2013,122013,2013DEC,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-15,2013-12-21,-9,-33,-98,-427,-2986
20131220,2013-12-20,20,th,6,Friday,FRI,F,20,354,3,51,12,December,DEC,D,4,fourth,2013,122013,2013DEC,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-15,2013-12-21,-9,-33,-98,-427,-2985
20131221,2013-12-21,21,st,7,Saturday,SAT,S,21,355,3,51,12,December,DEC,D,4,fourth,2013,122013,2013DEC,True,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-15,2013-12-21,-9,-33,-98,-427,-2984
20131222,2013-12-22,22,nd,1,Sunday,SUN,S,22,356,4,52,12,December,DEC,D,4,fourth,2013,122013,2013DEC,True,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-22,2013-12-28,-9,-33,-98,-426,-2983
20131223,2013-12-23,23,rd,2,Monday,MON,M,23,357,4,52,12,December,DEC,D,4,fourth,2013,122013,2013DEC,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-22,2013-12-28,-9,-33,-98,-426,-2982
20131224,2013-12-24,24,th,3,Tuesday,TUE,T,24,358,4,52,12,December,DEC,D,4,fourth,2013,122013,2013DEC,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-22,2013-12-28,-9,-33,-98,-426,-2981
20131225,2013-12-25,25,th,4,Wednesday,WED,W,25,359,4,52,12,December,DEC,D,4,fourth,2013,122013,2013DEC,False,True,Christmas,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-22,2013-12-28,-9,-33,-98,-426,-2980
20131226,2013-12-26,26,th,5,Thursday,THU,T,26,360,4,52,12,December,DEC,D,4,fourth,2013,122013,2013DEC,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-22,2013-12-28,-9,-33,-98,-426,-2979
20131227,2013-12-27,27,th,6,Friday,FRI,F,27,361,4,52,12,December,DEC,D,4,fourth,2013,122013,2013DEC,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-22,2013-12-28,-9,-33,-98,-426,-2978
20131228,2013-12-28,28,th,7,Saturday,SAT,S,28,362,4,52,12,December,DEC,D,4,fourth,2013,122013,2013DEC,True,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-22,2013-12-28,-9,-33,-98,-426,-2977
20131229,2013-12-29,29,th,1,Sunday,SUN,S,29,363,5,53,12,December,DEC,D,4,fourth,2013,122013,2013DEC,True,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-29,2014-01-04,-9,-33,-98,-425,-2976
20131230,2013-12-30,30,th,2,Monday,MON,M,30,364,5,53,12,December,DEC,D,4,fourth,2013,122013,2013DEC,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-29,2014-01-04,-9,-33,-98,-425,-2975
20131231,2013-12-31,31,st,3,Tuesday,TUE,T,31,365,5,53,12,December,DEC,D,4,fourth,2013,122013,2013DEC,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-12-01,2013-12-31,2013-12-29,2014-01-04,-9,-33,-98,-425,-2974
